sector,avg_price,avg_price_per_sqft,avg_area,listings
gwal pahari,3.192222222222222,9585.777777777777,3056.1666666666665,18
manesar,0.9642857142857143,5489.428571428572,2030.4857142857143,7
sector 1,1.86,8249.833333333334,2327.8333333333335,6
sector 102,1.6966355140186915,10603.822429906542,1556.1308411214952,107
sector 103,1.4949999999999999,7445.785714285715,1865.4285714285713,42
sector 104,1.6223880597014926,8873.89552238806,1835.5074626865671,67
sector 105,1.198,10168.95,1118.1255,20
sector 106,1.548421052631579,8591.0,1506.0526315789473,38
sector 107,0.7601724137931034,6652.568965517241,1078.6206896551723,58
sector 108,1.9967241379310345,10030.672413793103,1908.670400551724,58
sector 109,3.9868604651162793,12634.767441860466,2931.4418604651164,86
sector 10a,2.092857142857143,11866.57142857143,1908.857142857143,7
sector 11,1.4468750000000001,9226.5625,1394.1875,16
sector 110,2.9273684210526314,9990.631578947368,2621.684210526316,19
sector 111,2.9,11692.545454545454,2346.6363636363635,22
sector 112,4.514782608695652,12366.826086956522,3315.043043478261,23
sector 113,2.465813953488372,12516.139534883721,2057.860465116279,43
sector 12,1.6207692307692307,10133.807692307691,1758.576923076923,26
sector 13,2.441111111111111,9015.666666666666,2022.6666666666667,9
sector 14,4.5905555555555555,17150.777777777777,2714.3333333333335,18
sector 15,4.333333333333333,14675.0,2524.3333333333335,3
sector 17,3.795,17833.5,2045.0,6
sector 17a,1.52,19869.0,105.0,1
sector 17b,7.55,16728.0,4170.666666666667,3
sector 2,2.6931481481481483,12007.12962962963,1945.5185185185185,54
sector 21,1.0250000000000001,7641.5,1252.3333333333333,6
sector 22,3.429,16245.1,2072.8,20
sector 23,3.86875,16498.125,2566.875,8
sector 24,4.782500000000001,17627.9,2550.1,20
sector 25,8.663783783783783,30650.0,3395.8513513513512,37
sector 26,11.809999999999999,31881.85,4026.1,40
sector 27,6.125,28889.5,2196.0,2
sector 28,4.618461538461538,18738.897435897437,2239.0,39
sector 3,1.062,8362.25,1266.8,20
sector 30,1.568,11255.2,1339.6,5
sector 31,3.534,22197.3,1572.3,10
sector 33,5.697368421052632,14529.052631578947,3290.4736842105262,19
sector 36,0.45499999999999996,6735.5,695.75,4
sector 37,0.67,5583.0,1086.0,1
sector 37c,0.9772549019607842,6042.156862745098,1493.864705882353,51
sector 37d,1.2715873015873016,8126.809523809524,1546.968253968254,63
sector 38,3.8899999999999997,22355.6,2056.3,10
sector 39,3.621818181818182,13861.181818181818,2635.5454545454545,11
sector 4,1.2354545454545456,9187.454545454546,1112.6969696969697,33
sector 40,3.15,19005.2,1366.8,5
sector 41,6.140909090909091,24010.727272727272,2971.818181818182,11
sector 43,5.427333333333333,18915.422222222223,2465.6,45
sector 45,8.49875,25525.5,2897.5,8
sector 46,3.7954545454545454,19909.090909090908,1516.909090909091,11
sector 47,2.95,14606.4375,1956.625,16
sector 48,6.079818181818181,18247.0,3162.2,55
sector 49,3.072666666666667,13809.6,2142.1582222222223,45
sector 5,2.1283333333333334,10771.833333333334,1751.6666666666667,6
sector 50,6.735409836065574,22964.819672131147,3097.55737704918,61
sector 51,1.5585714285714285,7031.714285714285,1674.142857142857,7
sector 52,2.7142857142857144,11035.92857142857,2411.285714285714,14
sector 53,5.782857142857144,20506.785714285714,2687.714285714286,14
sector 54,5.334615384615384,19323.73076923077,2338.923076923077,26
sector 55,3.1079999999999997,20680.5,1586.2,10
sector 56,2.072641509433962,10929.698113207547,1890.8301886792453,53
sector 57,4.67304347826087,19685.217391304348,2339.217391304348,23
sector 58,3.2971428571428567,17147.85714285714,1959.142857142857,7
sector 59,4.875,17476.0,2799.0,8
sector 6,0.6927272727272727,8099.181818181818,675.6363636363636,11
sector 60,3.9873333333333334,15328.466666666667,2413.866666666667,15
sector 61,2.0882926829268293,14622.609756097561,1490.1463414634147,41
sector 62,5.65625,17383.5625,2865.1875,16
sector 63,4.663571428571429,16931.214285714286,2793.0,14
sector 63a,2.75,16440.933333333334,1613.4666666666667,15
sector 65,3.3097701149425287,15972.068965517241,2063.5862068965516,87
sector 66,5.640487804878049,19693.219512195123,2648.1341463414633,41
sector 67,3.122340425531915,13337.72340425532,2042.340425531915,47
sector 67a,1.4185714285714286,10049.857142857143,1364.4285714285713,21
sector 68,1.2476666666666667,8914.7,1340.0666666666666,30
sector 69,1.5683870967741933,9225.301075268817,1579.731182795699,93
sector 7,1.7362857142857144,11287.6,1275.4571428571428,35
sector 70,1.6304081632653062,8740.795918367347,1732.0,49
sector 71,0.9485185185185185,7717.111111111111,1223.4814814814815,27
sector 72,4.163448275862069,12788.655172413793,3101.9310344827586,29
sector 73,6.3,16116.666666666666,4022.0,3
sector 74,1.7722222222222224,11790.833333333334,1490.0,18
sector 76,1.682,9250.266666666666,1793.7333333333333,15
sector 77,1.3251851851851852,7731.2962962962965,1553.2222222222222,27
sector 78,1.18625,6397.4375,1701.0,16
sector 79,1.3844736842105263,8507.421052631578,1516.2894736842106,76
sector 8,0.7457142857142857,8570.0,641.4285714285714,7
sector 80,1.27,7498.2,1632.8,5
sector 81,1.9245977011494253,9317.632183908046,1846.7241379310344,87
sector 82,2.0995121951219513,9241.951219512195,1955.9756097560976,41
sector 82a,2.304736842105263,10120.894736842105,2359.4210526315787,19
sector 83,1.2632352941176472,7637.470588235294,1536.235294117647,68
sector 84,0.965,6386.666666666667,1419.9375,48
sector 85,1.5000925925925925,7934.37037037037,1820.8055555555557,108
sector 86,1.2017741935483872,7600.870967741936,1513.967741935484,62
sector 88a,1.3285714285714285,9010.142857142857,1382.3333333333333,21
sector 88b,0.9800000000000001,7441.0,1333.3333333333333,3
sector 89,1.0914285714285714,8711.510204081633,1328.469387755102,49
sector 9,1.4641666666666666,10369.25,1205.9166666666667,12
sector 90,1.201685393258427,6375.516853932584,1747.5056179775281,89
sector 91,1.648235294117647,7586.117647058823,2028.6470588235295,17
sector 92,0.9293,5935.5,1562.9417999999998,100
sector 93,0.8488888888888888,8009.888888888889,1017.0,9
sector 95,0.4870833333333333,5345.104166666667,1046.375,48
sector 99,1.4883333333333333,6798.25,1802.6666666666667,12
sector 99a,0.8160000000000001,6257.733333333334,1188.8333333333333,30
